Latency_Injected,Packet_Loss_Injected,Handshake_Completion_Time_ms,IP_Fragmentation_Count,TCP_Retransmissions,Final_Negotiated_State,Negotiated_Group
0,0,3940.7999515533447,0,0,S2,29
0,1,3154.5679569244385,0,0,S2,29
0,3,4930.542945861816,0,1,S2,29
0,5,4221.282958984375,0,6,S2,29
20,0,7797.02091217041,0,3,S2,29
20,1,6979.6788692474365,0,2,S2,29
20,3,7545.041084289551,0,5,S2,29
20,5,7324.690818786621,0,3,S2,29
50,0,12726.53603553772,0,3,S2,29
50,1,10121.709823608398,0,4,S2,29
50,3,14319.067001342773,0,9,S2,29
50,5,12398.889064788818,0,4,S2,29
100,0,15152.549028396606,0,1,S2,29
100,1,13757.724046707153,0,2,S2,29
100,3,18966.42303466797,0,5,S2,29
100,5,19942.88206100464,0,7,S2,29
